"","word","value"
"1267","improvement",2
"1268","improves",2
"1269","improving",2
"1270","inability",-2
"1271","inaction",-2
"1272","inadequate",-2
"1273","incapable",-2
"1274","incapacitated",-2
"1275","incensed",-2
"1276","incompetence",-2
"1277","incompetent",-2
"1278","inconsiderate",-2
"1279","inconvenience",-2
"1280","inconvenient",-2
"1281","increase",1
"1282","increased",1
"1283","indecisive",-2
"1284","indestructible",2
"1285","indifference",-2
"1286","indifferent",-2
"1287","indignant",-2
"1288","indignation",-2
"1289","indoctrinate",-2
"1290","indoctrinated",-2
"1291","indoctrinates",-2
"1292","indoctrinating",-2
"1293","ineffective",-2
"1294","ineffectively",-2
"1295","infatuated",2
"1296","infatuation",2
"1297","infected",-2
"1298","inferior",-2
"1299","inflamed",-2
"1300","influential",2
"1301","infringement",-2
"1302","infuriate",-2
"1303","infuriated",-2
"1304","infuriates",-2
"1305","infuriating",-2
"1306","inhibit",-1
"1307","injured",-2
"1308","injury",-2
"1309","injustice",-2
"1310","innovate",1
"1311","innovates",1
"1312","innovation",1
"1313","innovative",2
"1314","inquisition",-2
"1315","inquisitive",2
"1316","insane",-2
"1317","insanity",-2
"1318","insecure",-2
"1319","insensitive",-2
"1320","insensitivity",-2
"1321","insignificant",-2
"1322","insipid",-2
"1323","inspiration",2
"1324","inspirational",2
"1325","inspire",2
"1326","inspired",2
"1327","inspires",2
"1328","inspiring",3
"1329","insult",-2
"1330","insulted",-2
"1331","insulting",-2
"1332","insults",-2
"1333","intact",2
"1334","integrity",2
"1335","intelligent",2
"1336","intense",1
"1337","interest",1
"1338","interested",2
"1339","interesting",2
"1340","interests",1
"1341","interrogated",-2
"1342","interrupt",-2
"1343","interrupted",-2
"1344","interrupting",-2
"1345","interruption",-2
"1346","interrupts",-2
"1347","intimidate",-2
"1348","intimidated",-2
"1349","intimidates",-2
"1350","intimidating",-2
"1351","intimidation",-2
"1352","intricate",2
"1353","intrigues",1
"1354","invincible",2
"1355","invite",1
"1356","inviting",1
"1357","invulnerable",2
"1358","irate",-3
"1359","ironic",-1
"1360","irony",-1
"1361","irrational",-1
"1362","irresistible",2
"1363","irresolute",-2
"1364","irresponsible",2
"1365","irreversible",-1
"1366","irritate",-3
"1367","irritated",-3
"1368","irritating",-3
"1369","isolated",-1
"1370","itchy",-2
"1371","jackass",-4
"1372","jackasses",-4
"1373","jailed",-2
"1374","jaunty",2
"1375","jealous",-2
"1376","jeopardy",-2
"1377","jerk",-3
"1378","jesus",1
"1379","jewel",1
"1380","jewels",1
"1381","jocular",2
"1382","join",1
"1383","joke",2
"1384","jokes",2
"1385","jolly",2
"1386","jovial",2
"1387","joy",3
"1388","joyful",3
"1389","joyfully",3
"1390","joyless",-2
"1391","joyous",3
"1392","jubilant",3
"1393","jumpy",-1
"1394","justice",2
"1395","justifiably",2
"1396","justified",2
"1397","keen",1
"1398","kill",-3
"1399","killed",-3
"1400","killing",-3
"1401","kills",-3
"1402","kind",2
"1403","kinder",2
"1404","kiss",2
"1405","kudos",3
"1406","lack",-2
"1407","lackadaisical",-2
"1408","lag",-1
"1409","lagged",-2
"1410","lagging",-2
"1411","lags",-2
"1412","lame",-2
"1413","landmark",2
"1414","laugh",1
"1415","laughed",1
"1416","laughing",1
"1417","laughs",1
"1418","laughting",1
"1419","launched",1
"1420","lawl",3
"1421","lawsuit",-2
"1422","lawsuits",-2
"1423","lazy",-1
"1424","leak",-1
"1425","leaked",-1
"1426","leave",-1
"1427","legal",1
"1428","legally",1
"1429","lenient",1
"1430","lethargic",-2
"1431","lethargy",-2
"1432","liar",-3
"1433","liars",-3
"1434","libelous",-2
"1435","lied",-2
"1436","lifesaver",4
"1437","lighthearted",1
"1438","like",2
"1439","liked",2
"1440","likes",2
"1441","limitation",-1
"1442","limited",-1
"1443","limits",-1
"1444","litigation",-1
"1445","litigious",-2
"1446","lively",2
"1447","livid",-2
"1448","lmao",4
"1449","lmfao",4
"1450","loathe",-3
"1451","loathed",-3
"1452","loathes",-3
"1453","loathing",-3
"1454","lobby",-2
"1455","lobbying",-2
"1456","lol",3
"1457","lonely",-2
"1458","lonesome",-2
"1459","longing",-1
"1460","loom",-1
"1461","loomed",-1
"1462","looming",-1
"1463","looms",-1
"1464","loose",-3
"1465","looses",-3
"1466","loser",-3
"1467","losing",-3
"1468","loss",-3
"1469","lost",-3
"1470","lovable",3
"1471","love",3
"1472","loved",3
"1473","lovelies",3
"1474","lovely",3
"1475","loving",2
"1476","lowest",-1
"1477","loyal",3
"1478","loyalty",3
"1479","luck",3
"1480","luckily",3
"1481","lucky",3
"1482","lugubrious",-2
"1483","lunatic",-3
"1484","lunatics",-3
"1485","lurk",-1
"1486","lurking",-1
"1487","lurks",-1
"1488","mad",-3
"1489","maddening",-3
"1490","made-up",-1
"1491","madly",-3
"1492","madness",-3
"1493","mandatory",-1
"1494","manipulated",-1
"1495","manipulating",-1
"1496","manipulation",-1
"1497","marvel",3
"1498","marvelous",3
"1499","marvels",3
"1500","masterpiece",4
"1501","masterpieces",4
"1502","matter",1
"1503","matters",1
"1504","mature",2
"1505","meaningful",2
"1506","meaningless",-2
"1507","medal",3
"1508","mediocrity",-3
"1509","meditative",1
"1510","melancholy",-2
"1511","menace",-2
"1512","menaced",-2
"1513","mercy",2
"1514","merry",3
"1515","mess",-2
"1516","messed",-2
"1517","messing up",-2
"1518","methodical",2
"1519","mindless",-2
"1520","miracle",4
"1521","mirth",3
"1522","mirthful",3
"1523","mirthfully",3
"1524","misbehave",-2
"1525","misbehaved",-2
"1526","misbehaves",-2
"1527","misbehaving",-2
"1528","mischief",-1
"1529","mischiefs",-1
"1530","miserable",-3
"1531","misery",-2
"1532","misgiving",-2
"1533","misinformation",-2
"1534","misinformed",-2
"1535","misinterpreted",-2
"1536","misleading",-3
"1537","misread",-1
"1538","misreporting",-2
"1539","misrepresentation",-2
"1540","miss",-2
"1541","missed",-2
"1542","missing",-2
"1543","mistake",-2
"1544","mistaken",-2
"1545","mistakes",-2
"1546","mistaking",-2
"1547","misunderstand",-2
"1548","misunderstanding",-2
"1549","misunderstands",-2
"1550","misunderstood",-2
"1551","moan",-2
"1552","moaned",-2
"1553","moaning",-2
"1554","moans",-2
"1555","mock",-2
"1556","mocked",-2
"1557","mocking",-2
"1558","mocks",-2
"1559","mongering",-2
"1560","monopolize",-2
"1561","monopolized",-2
"1562","monopolizes",-2
"1563","monopolizing",-2
"1564","moody",-1
"1565","mope",-1
"1566","moping",-1
"1567","moron",-3
"1568","motherfucker",-5
"1569","motherfucking",-5
"1570","motivate",1
"1571","motivated",2
"1572","motivating",2
"1573","motivation",1
"1574","mourn",-2
"1575","mourned",-2
"1576","mournful",-2
"1577","mourning",-2
"1578","mourns",-2
"1579","mumpish",-2
"1580","murder",-2
"1581","murderer",-2
"1582","murdering",-3
"1583","murderous",-3
"1584","murders",-2
"1585","myth",-1
"1586","n00b",-2
"1587","naive",-2
"1588","nasty",-3
"1589","natural",1
"1590","naïve",-2
"1591","needy",-2
"1592","negative",-2
"1593","negativity",-2
"1594","neglect",-2
"1595","neglected",-2
"1596","neglecting",-2
"1597","neglects",-2
"1598","nerves",-1
"1599","nervous",-2
"1600","nervously",-2
"1601","nice",3
"1602","nifty",2
"1603","niggas",-5
"1604","nigger",-5
"1605","no",-1
"1606","no fun",-3
"1607","noble",2
"1608","noisy",-1
"1609","nonsense",-2
"1610","noob",-2
"1611","nosey",-2
"1612","not good",-2
"1613","not working",-3
"1614","notorious",-2
"1615","novel",2
"1616","numb",-1
"1617","nuts",-3
"1618","obliterate",-2
"1619","obliterated",-2
"1620","obnoxious",-3
"1621","obscene",-2
"1622","obsessed",2
"1623","obsolete",-2
"1624","obstacle",-2
"1625","obstacles",-2
"1626","obstinate",-2
"1627","odd",-2
"1628","offend",-2
"1629","offended",-2
"1630","offender",-2
"1631","offending",-2
"1632","offends",-2
"1633","offline",-1
"1634","oks",2
"1635","ominous",3
"1636","once-in-a-lifetime",3
"1637","opportunities",2
"1638","opportunity",2
"1639","oppressed",-2
"1640","oppressive",-2
"1641","optimism",2
"1642","optimistic",2
"1643","optionless",-2
"1644","outcry",-2
"1645","outmaneuvered",-2
"1646","outrage",-3
"1647","outraged",-3
"1648","outreach",2
"1649","outstanding",5
"1650","overjoyed",4
"1651","overload",-1
"1652","overlooked",-1
"1653","overreact",-2
"1654","overreacted",-2
"1655","overreaction",-2
"1656","overreacts",-2
"1657","oversell",-2
"1658","overselling",-2
"1659","oversells",-2
"1660","oversimplification",-2
"1661","oversimplified",-2
"1662","oversimplifies",-2
"1663","oversimplify",-2
"1664","overstatement",-2
"1665","overstatements",-2
"1666","overweight",-1
"1667","oxymoron",-1
"1668","pain",-2
"1669","pained",-2
"1670","panic",-3
"1671","panicked",-3
"1672","panics",-3
"1673","paradise",3
"1674","paradox",-1
"1675","pardon",2
"1676","pardoned",2
"1677","pardoning",2
"1678","pardons",2
"1679","parley",-1
"1680","passionate",2
"1681","passive",-1
"1682","passively",-1
"1683","pathetic",-2
"1684","pay",-1
"1685","peace",2
"1686","peaceful",2
"1687","peacefully",2
"1688","penalty",-2
"1689","pensive",-1
"1690","perfect",3
"1691","perfected",2
"1692","perfectly",3
"1693","perfects",2
"1694","peril",-2
"1695","perjury",-3
"1696","perpetrator",-2
"1697","perpetrators",-2
"1698","perplexed",-2
"1699","persecute",-2
"1700","persecuted",-2
"1701","persecutes",-2
"1702","persecuting",-2
"1703","perturbed",-2
"1704","pesky",-2
"1705","pessimism",-2
"1706","pessimistic",-2
"1707","petrified",-2
"1708","phobic",-2
"1709","picturesque",2
"1710","pileup",-1
"1711","pique",-2
"1712","piqued",-2
"1713","piss",-4
"1714","pissed",-4
"1715","pissing",-3
"1716","piteous",-2
"1717","pitied",-1
"1718","pity",-2
"1719","playful",2
"1720","pleasant",3
"1721","please",1
"1722","pleased",3
"1723","pleasure",3
"1724","poised",-2
"1725","poison",-2
"1726","poisoned",-2
"1727","poisons",-2
"1728","pollute",-2
"1729","polluted",-2
"1730","polluter",-2
"1731","polluters",-2
"1732","pollutes",-2
"1733","poor",-2
"1734","poorer",-2
"1735","poorest",-2
"1736","popular",3
"1737","positive",2
"1738","positively",2
"1739","possessive",-2
"1740","postpone",-1
"1741","postponed",-1
"1742","postpones",-1
"1743","postponing",-1
"1744","poverty",-1
"1745","powerful",2
"1746","powerless",-2
"1747","praise",3
"1748","praised",3
"1749","praises",3
"1750","praising",3
"1751","pray",1
"1752","praying",1
"1753","prays",1
"1754","prblm",-2
"1755","prblms",-2
"1756","prepared",1
"1757","pressure",-1
"1758","pressured",-2
"1759","pretend",-1
"1760","pretending",-1
"1761","pretends",-1
"1762","pretty",1
"1763","prevent",-1
"1764","prevented",-1
"1765","preventing",-1
"1766","prevents",-1
"1767","prick",-5
"1768","prison",-2
"1769","prisoner",-2
"1770","prisoners",-2
"1771","privileged",2
"1772","proactive",2
"1773","problem",-2
"1774","problems",-2
"1775","profiteer",-2
"1776","progress",2
"1777","prominent",2
"1778","promise",1
"1779","promised",1
"1780","promises",1
"1781","promote",1
"1782","promoted",1
"1783","promotes",1
"1784","promoting",1
"1785","propaganda",-2
"1786","prosecute",-1
"1787","prosecuted",-2
"1788","prosecutes",-1
"1789","prosecution",-1
"1790","prospect",1
"1791","prospects",1
"1792","prosperous",3
"1793","protect",1
"1794","protected",1
"1795","protects",1
"1796","protest",-2
"1797","protesters",-2
"1798","protesting",-2
"1799","protests",-2
"1800","proud",2
"1801","proudly",2
"1802","provoke",-1
"1803","provoked",-1
"1804","provokes",-1
"1805","provoking",-1
"1806","pseudoscience",-3
"1807","punish",-2
"1808","punished",-2
"1809","punishes",-2
"1810","punitive",-2
"1811","pushy",-1
"1812","puzzled",-2
"1813","quaking",-2
"1814","questionable",-2
"1815","questioned",-1
"1816","questioning",-1
"1817","racism",-3
"1818","racist",-3
"1819","racists",-3
"1820","rage",-2
"1821","rageful",-2
"1822","rainy",-1
"1823","rant",-3
"1824","ranter",-3
"1825","ranters",-3
"1826","rants",-3
"1827","rape",-4
"1828","rapist",-4
"1829","rapture",2
"1830","raptured",2
"1831","raptures",2
"1832","rapturous",4
"1833","rash",-2
"1834","ratified",2
"1835","reach",1
"1836","reached",1
"1837","reaches",1
"1838","reaching",1
"1839","reassure",1
"1840","reassured",1
"1841","reassures",1
"1842","reassuring",2
"1843","rebellion",-2
"1844","recession",-2
"1845","reckless",-2
"1846","recommend",2
"1847","recommended",2
"1848","recommends",2
"1849","redeemed",2
"1850","refuse",-2
"1851","refused",-2
"1852","refusing",-2
"1853","regret",-2
"1854","regretful",-2
"1855","regrets",-2
"1856","regretted",-2
"1857","regretting",-2
"1858","reject",-1
"1859","rejected",-1
"1860","rejecting",-1
"1861","rejects",-1
"1862","rejoice",4
"1863","rejoiced",4
"1864","rejoices",4
"1865","rejoicing",4
"1866","relaxed",2
"1867","relentless",-1
"1868","reliant",2
"1869","relieve",1
"1870","relieved",2
"1871","relieves",1
"1872","relieving",2
"1873","relishing",2
"1874","remarkable",2
"1875","remorse",-2
"1876","repulse",-1
"1877","repulsed",-2
"1878","rescue",2
"1879","rescued",2
"1880","rescues",2
"1881","resentful",-2
"1882","resign",-1
"1883","resigned",-1
"1884","resigning",-1
"1885","resigns",-1
"1886","resolute",2
"1887","resolve",2
"1888","resolved",2
"1889","resolves",2
"1890","resolving",2
"1891","respected",2
"1892","responsible",2
"1893","responsive",2
"1894","restful",2
"1895","restless",-2
"1896","restore",1
"1897","restored",1
"1898","restores",1
"1899","restoring",1
"1900","restrict",-2
"1901","restricted",-2
"1902","restricting",-2
"1903","restriction",-2
"1904","restricts",-2
"1905","retained",-1
"1906","retard",-2
"1907","retarded",-2
"1908","retreat",-1
"1909","revenge",-2
"1910","revengeful",-2
"1911","revered",2
"1912","revive",2
"1913","revives",2
"1914","reward",2
"1915","rewarded",2
"1916","rewarding",2
"1917","rewards",2
"1918","rich",2
"1919","ridiculous",-3
"1920","rig",-1
"1921","rigged",-1
"1922","right direction",3
"1923","rigorous",3
"1924","rigorously",3
"1925","riot",-2
"1926","riots",-2
"1927","risk",-2
"1928","risks",-2
"1929","rob",-2
"1930","robber",-2
"1931","robed",-2
"1932","robing",-2
"1933","robs",-2
"1934","robust",2
"1935","rofl",4
"1936","roflcopter",4
"1937","roflmao",4
"1938","romance",2
"1939","rotfl",4
"1940","rotflmfao",4
"1941","rotflol",4
"1942","ruin",-2
"1943","ruined",-2
"1944","ruining",-2
"1945","ruins",-2
"1946","sabotage",-2
"1947","sad",-2
"1948","sadden",-2
"1949","saddened",-2
"1950","sadly",-2
"1951","safe",1
"1952","safely",1
"1953","safety",1
"1954","salient",1
"1955","sappy",-1
"1956","sarcastic",-2
"1957","satisfied",2
"1958","save",2
"1959","saved",2
"1960","scam",-2
"1961","scams",-2
"1962","scandal",-3
"1963","scandalous",-3
"1964","scandals",-3
"1965","scapegoat",-2
"1966","scapegoats",-2
"1967","scare",-2
"1968","scared",-2
"1969","scary",-2
"1970","sceptical",-2
"1971","scold",-2
"1972","scoop",3
"1973","scorn",-2
"1974","scornful",-2
"1975","scream",-2
"1976","screamed",-2
"1977","screaming",-2
"1978","screams",-2
"1979","screwed",-2
"1980","screwed up",-3
"1981","scumbag",-4
"1982","secure",2
"1983","secured",2
"1984","secures",2
"1985","sedition",-2
"1986","seditious",-2
"1987","seduced",-1
"1988","self-confident",2
"1989","self-deluded",-2
"1990","selfish",-3
"1991","selfishness",-3
"1992","sentence",-2
"1993","sentenced",-2
"1994","sentences",-2
"1995","sentencing",-2
"1996","serene",2
"1997","severe",-2
"1998","sexy",3
"1999","shaky",-2
"2000","shame",-2
"2001","shamed",-2
"2002","shameful",-2
"2003","share",1
"2004","shared",1
"2005","shares",1
"2006","shattered",-2
"2007","shit",-4
"2008","shithead",-4
"2009","shitty",-3
"2010","shock",-2
"2011","shocked",-2
"2012","shocking",-2
"2013","shocks",-2
"2014","shoot",-1
"2015","short-sighted",-2
"2016","short-sightedness",-2
"2017","shortage",-2
"2018","shortages",-2
"2019","shrew",-4
"2020","shy",-1
"2021","sick",-2
"2022","sigh",-2
"2023","significance",1
"2024","significant",1
"2025","silencing",-1
"2026","silly",-1
"2027","sincere",2
"2028","sincerely",2
"2029","sincerest",2
"2030","sincerity",2
"2031","sinful",-3
"2032","singleminded",-2
"2033","skeptic",-2
"2034","skeptical",-2
"2035","skepticism",-2
"2036","skeptics",-2
"2037","slam",-2
"2038","slash",-2
"2039","slashed",-2
"2040","slashes",-2
"2041","slashing",-2
"2042","slavery",-3
"2043","sleeplessness",-2
"2044","slick",2
"2045","slicker",2
"2046","slickest",2
"2047","sluggish",-2
"2048","slut",-5
"2049","smart",1
"2050","smarter",2
"2051","smartest",2
"2052","smear",-2
"2053","smile",2
"2054","smiled",2
"2055","smiles",2
"2056","smiling",2
"2057","smog",-2
"2058","sneaky",-1
"2059","snub",-2
"2060","snubbed",-2
"2061","snubbing",-2
"2062","snubs",-2
"2063","sobering",1
"2064","solemn",-1
"2065","solid",2
"2066","solidarity",2
"2067","solution",1
"2068","solutions",1
"2069","solve",1
"2070","solved",1
"2071","solves",1
"2072","solving",1
"2073","somber",-2
"2074","some kind",0
"2075","son-of-a-bitch",-5
"2076","soothe",3
"2077","soothed",3
"2078","soothing",3
"2079","sophisticated",2
"2080","sore",-1
"2081","sorrow",-2
"2082","sorrowful",-2
"2083","sorry",-1
"2084","spam",-2
"2085","spammer",-3
"2086","spammers",-3
"2087","spamming",-2
"2088","spark",1
"2089","sparkle",3
"2090","sparkles",3
"2091","sparkling",3
"2092","speculative",-2
"2093","spirit",1
"2094","spirited",2
"2095","spiritless",-2
"2096","spiteful",-2
"2097","splendid",3
"2098","sprightly",2
"2099","squelched",-1
"2100","stab",-2
"2101","stabbed",-2
"2102","stable",2
"2103","stabs",-2
"2104","stall",-2
"2105","stalled",-2
"2106","stalling",-2
"2107","stamina",2
"2108","stampede",-2
"2109","startled",-2
"2110","starve",-2
"2111","starved",-2
"2112","starves",-2
"2113","starving",-2
"2114","steadfast",2
"2115","steal",-2
"2116","steals",-2
"2117","stereotype",-2
"2118","stereotyped",-2
"2119","stifled",-1
"2120","stimulate",1
"2121","stimulated",1
"2122","stimulates",1
"2123","stimulating",2
"2124","stingy",-2
"2125","stolen",-2
"2126","stop",-1
"2127","stopped",-1
"2128","stopping",-1
"2129","stops",-1
"2130","stout",2
"2131","straight",1
"2132","strange",-1
"2133","strangely",-1
"2134","strangled",-2
"2135","strength",2
"2136","strengthen",2
"2137","strengthened",2
"2138","strengthening",2
"2139","strengthens",2
"2140","stressed",-2
"2141","stressor",-2
"2142","stressors",-2
"2143","stricken",-2
"2144","strike",-1
"2145","strikers",-2
"2146","strikes",-1
"2147","strong",2
"2148","stronger",2
"2149","strongest",2
"2150","struck",-1
"2151","struggle",-2
"2152","struggled",-2
"2153","struggles",-2
"2154","struggling",-2
"2155","stubborn",-2
"2156","stuck",-2
"2157","stunned",-2
"2158","stunning",4
"2159","stupid",-2
"2160","stupidly",-2
"2161","suave",2
"2162","substantial",1
"2163","substantially",1
"2164","subversive",-2
"2165","success",2
"2166","successful",3
"2167","suck",-3
"2168","sucks",-3
"2169","suffer",-2
"2170","suffering",-2
"2171","suffers",-2
"2172","suicidal",-2
"2173","suicide",-2
"2174","suing",-2
"2175","sulking",-2
"2176","sulky",-2
"2177","sullen",-2
"2178","sunshine",2
"2179","super",3
"2180","superb",5
"2181","superior",2
"2182","support",2
"2183","supported",2
"2184","supporter",1
"2185","supporters",1
"2186","supporting",1
"2187","supportive",2
"2188","supports",2
"2189","survived",2
"2190","surviving",2
"2191","survivor",2
"2192","suspect",-1
"2193","suspected",-1
"2194","suspecting",-1
"2195","suspects",-1
"2196","suspend",-1
"2197","suspended",-1
"2198","suspicious",-2
"2199","swear",-2
"2200","swearing",-2
"2201","swears",-2
"2202","sweet",2
"2203","swift",2
"2204","swiftly",2
"2205","swindle",-3
"2206","swindles",-3
"2207","swindling",-3
"2208","sympathetic",2
"2209","sympathy",2
"2210","tard",-2
"2211","tears",-2
"2212","tender",2
"2213","tense",-2
"2214","tension",-1
"2215","terrible",-3
"2216","terribly",-3
"2217","terrific",4
"2218","terrified",-3
"2219","terror",-3
"2220","terrorize",-3
"2221","terrorized",-3
"2222","terrorizes",-3
"2223","thank",2
"2224","thankful",2
"2225","thanks",2
"2226","thorny",-2
"2227","thoughtful",2
"2228","thoughtless",-2
"2229","threat",-2
"2230","threaten",-2
"2231","threatened",-2
"2232","threatening",-2
"2233","threatens",-2
"2234","threats",-2
"2235","thrilled",5
"2236","thwart",-2
"2237","thwarted",-2
"2238","thwarting",-2
"2239","thwarts",-2
"2240","timid",-2
"2241","timorous",-2
"2242","tired",-2
"2243","tits",-2
"2244","tolerant",2
"2245","toothless",-2
"2246","top",2
"2247","tops",2
"2248","torn",-2
"2249","torture",-4
"2250","tortured",-4
"2251","tortures",-4
"2252","torturing",-4
"2253","totalitarian",-2
"2254","totalitarianism",-2
"2255","tout",-2
"2256","touted",-2
"2257","touting",-2
"2258","touts",-2
"2259","tragedy",-2
"2260","tragic",-2
"2261","tranquil",2
"2262","trap",-1
"2263","trapped",-2
"2264","trauma",-3
"2265","traumatic",-3
"2266","travesty",-2
"2267","treason",-3
"2268","treasonous",-3
"2269","treasure",2
"2270","treasures",2
"2271","trembling",-2
"2272","tremulous",-2
"2273","tricked",-2
"2274","trickery",-2
"2275","triumph",4
"2276","triumphant",4
"2277","trouble",-2
"2278","troubled",-2
"2279","troubles",-2
"2280","true",2
"2281","trust",1
"2282","trusted",2
"2283","tumor",-2
"2284","twat",-5
"2285","ugly",-3
"2286","unacceptable",-2
"2287","unappreciated",-2
"2288","unapproved",-2
"2289","unaware",-2
"2290","unbelievable",-1
"2291","unbelieving",-1
"2292","unbiased",2
"2293","uncertain",-1
"2294","unclear",-1
"2295","uncomfortable",-2
"2296","unconcerned",-2
"2297","unconfirmed",-1
"2298","unconvinced",-1
"2299","uncredited",-1
"2300","undecided",-1
"2301","underestimate",-1
"2302","underestimated",-1
"2303","underestimates",-1
"2304","underestimating",-1
"2305","undermine",-2
"2306","undermined",-2
"2307","undermines",-2
"2308","undermining",-2
"2309","undeserving",-2
"2310","undesirable",-2
"2311","uneasy",-2
"2312","unemployment",-2
"2313","unequal",-1
"2314","unequaled",2
"2315","unethical",-2
"2316","unfair",-2
"2317","unfocused",-2
"2318","unfulfilled",-2
"2319","unhappy",-2
"2320","unhealthy",-2
"2321","unified",1
"2322","unimpressed",-2
"2323","unintelligent",-2
"2324","united",1
"2325","unjust",-2
"2326","unlovable",-2
"2327","unloved",-2
"2328","unmatched",1
"2329","unmotivated",-2
"2330","unprofessional",-2
"2331","unresearched",-2
"2332","unsatisfied",-2
"2333","unsecured",-2
"2334","unsettled",-1
"2335","unsophisticated",-2
"2336","unstable",-2
"2337","unstoppable",2
"2338","unsupported",-2
"2339","unsure",-1
"2340","untarnished",2
"2341","unwanted",-2
"2342","unworthy",-2
"2343","upset",-2
"2344","upsets",-2
"2345","upsetting",-2
"2346","uptight",-2
"2347","urgent",-1
"2348","useful",2
"2349","usefulness",2
"2350","useless",-2
"2351","uselessness",-2
"2352","vague",-2
"2353","validate",1
"2354","validated",1
"2355","validates",1
"2356","validating",1
"2357","verdict",-1
"2358","verdicts",-1
"2359","vested",1
"2360","vexation",-2
"2361","vexing",-2
"2362","vibrant",3
"2363","vicious",-2
"2364","victim",-3
"2365","victimize",-3
"2366","victimized",-3
"2367","victimizes",-3
"2368","victimizing",-3
"2369","victims",-3
"2370","vigilant",3
"2371","vile",-3
"2372","vindicate",2
"2373","vindicated",2
"2374","vindicates",2
"2375","vindicating",2
"2376","violate",-2
"2377","violated",-2
"2378","violates",-2
"2379","violating",-2
"2380","violence",-3
"2381","violent",-3
"2382","virtuous",2
"2383","virulent",-2
"2384","vision",1
"2385","visionary",3
"2386","visioning",1
"2387","visions",1
"2388","vitality",3
"2389","vitamin",1
"2390","vitriolic",-3
"2391","vivacious",3
"2392","vociferous",-1
"2393","vulnerability",-2
"2394","vulnerable",-2
"2395","walkout",-2
"2396","walkouts",-2
"2397","wanker",-3
"2398","want",1
"2399","war",-2
"2400","warfare",-2
"2401","warm",1
"2402","warmth",2
"2403","warn",-2
"2404","warned",-2
"2405","warning",-3
"2406","warnings",-3
"2407","warns",-2
"2408","waste",-1
"2409","wasted",-2
"2410","wasting",-2
"2411","wavering",-1
"2412","weak",-2
"2413","weakness",-2
"2414","wealth",3
"2415","wealthy",2
"2416","weary",-2
"2417","weep",-2
"2418","weeping",-2
"2419","weird",-2
"2420","welcome",2
"2421","welcomed",2
"2422","welcomes",2
"2423","whimsical",1
"2424","whitewash",-3
"2425","whore",-4
"2426","wicked",-2
"2427","widowed",-1
"2428","willingness",2
"2429","win",4
"2430","winner",4
"2431","winning",4
"2432","wins",4
"2433","winwin",3
"2434","wish",1
"2435","wishes",1
"2436","wishing",1
"2437","withdrawal",-3
"2438","woebegone",-2
"2439","woeful",-3
"2440","won",3
"2441","wonderful",4
"2442","woo",3
"2443","woohoo",3
"2444","wooo",4
"2445","woow",4
"2446","worn",-1
"2447","worried",-3
"2448","worry",-3
"2449","worrying",-3
"2450","worse",-3
"2451","worsen",-3
"2452","worsened",-3
"2453","worsening",-3
"2454","worsens",-3
"2455","worshiped",3
"2456","worst",-3
"2457","worth",2
"2458","worthless",-2
"2459","worthy",2
"2460","wow",4
"2461","wowow",4
"2462","wowww",4
"2463","wrathful",-3
"2464","wreck",-2
"2465","wrong",-2
"2466","wronged",-2
"2467","wtf",-4
"2468","yeah",1
"2469","yearning",1
"2470","yeees",2
"2471","yes",1
"2472","youthful",2
"2473","yucky",-2
"2474","yummy",3
"2475","zealot",-2
"2476","zealots",-2
"2477","zealous",2
